Scene,NPC / Context,Field,CIV,BW,CS,Row ID
City Hall,,Scene Title,Pre-Riot: City Hall Briefing,Pre-Riot: City Hall,Pre-Riot: City Hall,story::CITY_HALL_ROUTE::sceneTitle
City Hall,,Scene Description,"Rajiv begins inside a Labour Front government fresh from the 2 April 1955 election. Marshall's victory feels hopeful, but worker grievances, bus disputes, and British scrutiny are already closing in.","Outside City Hall, Ahmad  hears Labour Front's promises and wonders whether a worker will finally be heard after the election or only addressed once the trouble begins.","Outside City Hall, Kim Chuan listens as election speeches, worker promises, and the mood of the crowd turn politics into something he can hear and question for himself.",story::CITY_HALL_ROUTE::sceneSubtitle
City Hall,David Marshall,NPC Name,David Marshall,David Marshall,David Marshall,variants::CITY_HALL_DAVID_MARSHALL_NPC::chatBubbleSpeaker
City Hall,David Marshall,NPC Line 1,"Labour Front has won, but victory only buys us the right to be judged.",,,variants::CITY_HALL_DAVID_MARSHALL_NPC::chatBubbleTexts[0]
City Hall,David Marshall,NPC Line 2,"Workers, students, and the British will all test whether this government moves faster than the grievances it inherited.",,,variants::CITY_HALL_DAVID_MARSHALL_NPC::chatBubbleTexts[1]
City Hall,David Marshall,NPC Line 3,"Watch Hock Lee closely. If a bus dispute hardens into a public confrontation, it becomes our first real measure in office.",,,variants::CITY_HALL_DAVID_MARSHALL_NPC::chatBubbleTexts[2]
City Hall,David Marshall,NPC Line 4,"Bring me facts, not celebration. Elections end in one night; governing begins the morning after.",,,variants::CITY_HALL_DAVID_MARSHALL_NPC::chatBubbleTexts[3]
City Hall,David Marshall,NPC Line 1,,"Get me clearer facts on conditions, union complaints, and how Hock Lee is treating its workers. We cannot afford to meet our first labour dispute with guesswork.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[0]
City Hall,David Marshall,NPC Line 2,,"If bus workers think this government listens to the company first, anger will spread far beyond one depot.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[1]
City Hall,David Marshall,NPC Line 3,,Find out whether management intends to bargain or simply delay until tempers harden.,,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[2]
City Hall,David Marshall,NPC Line 1,,,"Yes, the result is in. Labour Front has won, and by tomorrow people will ask what that victory means beyond the cheering.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[0]
City Hall,David Marshall,NPC Line 2,,,"If you are a student listening from the crowd, remember this: elections do not end politics. They decide who must answer the public next.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[1]
City Hall,David Marshall,NPC Line 3,,,Watch Hock Lee closely. A bus dispute after an election can teach you faster than any civics lesson how power is tested.,config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[2]
City Hall,David Marshall,NPC Line 4,,,"Do not remember only that we won. Remember what workers, families, and schools will now expect from us.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-david-marshall::chatBubbleTexts[3]
